Varchar(150),Varchar(150),Varchar(150),INT,Varchar(6),Varchar(50),Varchar(35),nvarchar(50),nvarchar(50),nvarchar(50),nvarchar(50),Varchar(50),,,Bit,"numeric(18,2)","numeric(18,2)",int,"numeric(18,2)",,Varchar(15)
OMAN WATER TREATMENT CO S.A.O.C,P.O.BOX 93M  RUSAYL  POSTAL CODE 124, ,RUSAYL,124, , ,,,,,2000019,MG05,Distributor,,1,0,,,,
NIRMAL AGENCIES,SECTOR.NO.1 PLOT.NO.19  NERUL, ,NAVI MUMBA,400706,nirmalagenices123@yahoo.co.in,9322251055,,,,,1000411,MG10,Distributor,,8200000,-2040454.4,,,,
NAGARWALLA ENGINEERING CO.PVT. LTD.,SEERVAI BUILDING - ' B ' 20-G  NAUS, ,MUMBAI,400007,purchase@necpl.net,9322842182,,,,,1000413,MG10,Distributor,,1,-2545514.33,,,,
NAIDU PVC CENTRE,45-44-31 OLD POST OFFICE JUNCTION , ,VISAKHAPATNAM,530016, ,9440192122,,,,,1000414,MG01,Distributor,,8600000,-5597715.89,,,,
SMS INDIA PVT. LTD,PLOT NO.A/26  KHURDA INDUSTRIAL EST, ,KHURDA,752057,asanengineers@gmail.com, ,,,,,1001171,MG04,Distributor,,1,0,,,,
ELECTRICITY DEPARTMENT OF DAMAN & D,3 MW SOLAR POWER PLANT , ,DIU,395009,bhavana@suntechnologiesindia.com, ,,,,,1001172,MG08,Distributor,,1,0,,,,
DNH POWER DISTRIBUTION CORPORATION,3 MW SOLAR POWER PLANT VILLAGE: VEL, ,VELAGUM,396230,bhavana@suntechnologiesindia.com, ,,,,,1001173,MG08,Distributor,,1,0,,,,
INNOVATIVE TEXTILES LIMITED, , ,NAGPUR,441122,INFONGP@INNOVATVETEXTILES.COM, ,,,,,1001174,MG10,Distributor,,1,0,,,,
ELECTRICITY DEPARTMENT OF DAMAN & D,1 MW SOLAR POWER PLANT (220/66/11 K, ,MAGARWADA,396210,bhavana@suntechnologiesindia.com, ,,,,,1001175,MG08,Distributor,,1,0,,,,
ARULPURAM COMMON EFFLUENT TREATMENT,S.F. NO 158 THALUNJIKATTU THOTTAM , ,TIRUPUR,641605,sirajudeen@aquadesign.in, ,,,,,1001176,MG04,Distributor,,1,0,,,,
MODERN ENGINEERING PLASTICS PVT. LT,SURVEY NO.223 362 VAVAL THOPPU, ,SALEM,636453,mfeache@gmail.com, ,,,,,1001177,MG04,Distributor,,1,0,,,,
HITECH ENVIRO ENGINEERS &,CONSULTANTS PVT. LTD  PLOT NO.906 M, ,JHAJJAR,124507,asanengineers@gmail.com, ,,,,,1001178,MG04,Distributor,,1,0,,,,
GUJARAT AMBUJA EXPORTS LTD,SURVEY NO.153 & 154  N.H-4 , ,HAVERI,581205,karanshah@ambujagroup.com, ,,,,,1001179,MG04,Distributor,,1,-77663,,,,
STAR PAPER MILLS LIMITED, , ,SAHARANPUR,247001,asanengineers@gmail.com, ,,,,,1001180,MG04,Distributor,,1,0,,,,
MOTUBA WIRES & CABLES,18  INDRAPRASTH COMPLEX , ,UDAIPUR,313001,motubawires@gmail.com,9414165216,,,,,1001181,MG12,Distributor,,1,6255.79,,,,
GUPTA ELECTRICAL AND INSULATION CO.,10-11 SUDAMA COMPLEX , ,DEHGAM,382305,guptaenterprise2011@gmail.com,9825767697,,,,,1001182,MG08,Distributor,,1,28390,,,,
BLUE STAR LTD.,D.NO. 49-24-65/1  RESAPUVANI PALEM, ,VISAKHAPATNAM,500016,manickamoorthy@bluestarindia.com,9866662918,,,,,1001183,MG10,Distributor,,1,-1910317,,,,
GHIM LI GLOBAL PTE LTD.,21 JALAN MESIN , ,SINGAPORE,368819, , ,,,,,2000010,MG05,Distributor,,1,0,,,,
TECHNICAL SUPPLIES INTERNATIONAL CO,P.O.BO:1827 POSTAL CODE:130  AL ATHAIBAH, ,AL ATHAIBA,130, , ,,,,,2000011,MG05,Distributor,,1,0,,,,
S LON LANKA (PVT) LTD,146 DAWSON STREET , ,COLOMBO,2, , ,,,,,2000013,MG05,Distributor,,1,0,,,,
MY HOME CONSTRUCTIONS PVT. LTD.,8TH FLOOR 3RD BLOCK  MY HOME HUB , ,HYDERABAD,500081,er.srinivas.a@myhomeconstructions.com,9848624131,,,,,1000395,MG01,Distributor,,1,-747495,,,,
MAX SOLUTION PVT LTD.,C-416 ALPHA-| , ,GAUTAMBUDDHNAGAR,201301, , ,,,,,1000396,MG07,Distributor,,1500000,30968,,,,
MANGAL SANITARY STORE,NEW MARKET JOKHAN BAGH , ,JHANSI,284002, ,9415030875,,,,,1000397,MG07,Distributor,,1500000,0,,,,
AGALE TRADING CO.,MODHA ROAD  DIST :BEED, ,AMBEJOGAI,431517,agaletc@rediffmail.com,9422242312,,,,,1000398,MG02,Distributor,,500000,-2890.19,,,,
SHREE SHYAM TRADELINK,PLOT NO-543 WARD-5B  ADIPUR, ,KUTCH,370205,gunjanprojects@gmail.com, ,,,,,1000399,MG08,Distributor,,2000000,14744,,,,
MAANSAROVAR DISTRIBUTORS,39A JORAPUKUR SQUARE LANE  SAKET SH, ,KOLKATA,700006, ,9830079346,,,,,1000400,MG08,Distributor,,2000000,19922,,,,
MADHURA TRADING COMPANY,46/1083 CHITTOOR ROAD  OPP.ST. ANTO, ,COCHIN,682023,madhurasales@gmail.com,94959878789,,,,,1000401,MG06,Distributor,,1,-28251,,,,
M.V.PATEL & CO.,15 MEERA PATH COLONY  DHENU MARKET, ,INDORE,452003,accounts@mvpatel.com, ,,,,,1000402,MG08,Distributor,,1,810783,,,,
BHUMI SALES CORPORATION,1286 BHADRAVATI PETH  NEAR NAVBHARA, ,SOLAPUR,413005,bhumicorporation@gmail.com, ,,,,,1000403,MG02,Distributor,,500000,25617.84,,,,
MANGLA PUMPS SALES CORPORATION,NOVELTY SILK MILL COMPOUND  S.V.ROA, ,MUMBAI,400068, , ,,,,,1000404,MG08,Distributor,,1,18473,,,,
MATHAJI AGENCIES,NO C47 HINDU COLONY MGR ROAD  NANGA, ,CHENNAI,600061,mathajiagencies@yahoo.com,9840575065,,,,,1000405,MG09,Distributor,,1,-670771,,,,
MAHAVEER TRADERS,MAIN ROAD  OPP BUS STAND  HADGAON, ,NANDED,431712, , ,,,,,1000406,MG08,Distributor,,1,18719,,,,
MARUTHI ENGINEERING & COMPANY,MAIN ROAD  PARAKAL, ,WARANGAL,506164,cheralum3366@gmail.com, ,,,,,1000407,MG08,Distributor,,1,6311,,,,
NOVA ENTERPRISES,3  SHAKUNTAL APARTMENT  NEAR MORRIS, ,NAGPUR,440012, ,9822468398,,,,,1000408,MG04,Distributor,,1,-66146,,,,
NILESH TRADING CO.,D-1  KEWAL SHOPPING CENTER  G.I.D.C, ,ANKLESHWAR,393002,ntc_ank@yahoo.in,9825023310,,,,,1000409,MG08,Distributor,,9700000,24133,,,,
NITIN AGENCIES,SHOP NO. 1  NOVELTY COMPLEX  77/151, ,KANPUR,208001,nitin@nitinagncies.com, ,,,,,1000410,MG04,Distributor,,1,-41414,,,,
NARAIN TRADERS,B - 8  KESHAV COMPLEX  ADJ. GOEL HO, ,LUCKNOW,226016, , ,,,,,1000412,MG07,Distributor,,1,0,,,,
NAAZ TRADERS,KRANTI COMPLEX  JEWARGI CROSS  M.S., ,GULBARGA,585103, , ,,,,,1000415,MG03,Distributor,,1000000,-97666.53,,,,
NATIONAL SANITATION,C/O  TAJ COROMUNDEL HOTEL  57  M.G., ,CHENNAI,600002,info@nationalsanitation.net, ,,,,,1000416,MG10,Distributor,,1,0,,,,
ROTEX MANUFACTURERS & ENG. PVT. LTD,NEAR BHOPAR VILLAGE  MANPADA ROAD , ,THANE,421204, , ,,,,,1000512,MG04,Distributor,,1,-13620,,,,
RAJASTHAN INDUSTRIAL PRODUCTS,35 SHOPPING CENTRE  JANTA COLONY, ,JAIPUR,302004, , ,,,,,1000513,MG04,Distributor,,1,-15604,,,,
RATHOD ELECTRICALS,BUS STAND ROAD , ,MAHALINGPUR,587312, , ,,,,,1000514,MG03,Distributor,,1,0,,,,
RAJARAM ENGINEERING,THARAD NAINVA ROAD OPP. KARGIL HOTE, ,DHANERA,385310,rajaram.engineering@yahoo.in,9426399092,,,,,1000515,MG08,Distributor,,2000000,70992,,,,
R.D.SALES CORPORATION,KEJRIWAL COMPLEX SHARMA GALI  ATHGA, ,GUWAHATI,781001,pareeklokesh@yahoo.com, ,,,,,1000516,MG08,Distributor,,7000000,124087,,,,
RAJMATHA REALTORS PVT LTD,SATTVA GROUP 4TH & 5TH FLOOR  NO. 3, ,BANGALORE,560042, , ,,,,,1000517,MG03,Distributor,,1,-617167,,,,
GIRISH ENTERPRISE,1200 NORTH KASBA  TILAK CHOWK , ,SOLAPUR,413007,girish123.enterprise@yahoo.com, ,,,,,1000518,MG02,Distributor,,1,0,,,,
REL AGENCIES,109 BHARTHIAR RAOD  P.N. PALAYAM, ,COIMBATORE,641037,relcbe2012@gmail.com,8344410000,,,,,1000519,MG09,Distributor,,1,-482444,,,,
RAJGARIA SANITARY,OPPOSITE GOUSHALA  HARMU ROAD, ,RANCHI,834001,rajgaria.sanitary@gmail.com,8877172787,,,,,1000520,MG08,Distributor,,1,280,,,,
REL AGENCIES,BRANCH OFFICE   22/8-A  SCOTT NAGAR, ,NAGARCOIL,629003,relngl2013@gmail.com, ,,,,,1000521,MG09,Distributor,,2000000,99786,,,,
ROQUETTE RIDDHI SIDDHI PVT. LTD.,PLOT NO.12  SECTOR -9 IIE SIDCUL  P, ,RUDRAPUR,263153, , ,,,,,1000522,MG04,Distributor,,1,5780,,,,
ROQUETTE RIDDHI SIDDHI PVT. LTD,P.O.BOX 09 FALLS ROAD  GOKAK, ,BELGAUM,591307, , ,,,,,1000523,MG04,Distributor,,1,-78590,,,,
RAJESH SANITATION,BAG NO-2  KANPUR ROAD , ,LUCKNOW,226009,rsanitation13@gmail.com, ,,,,,1000524,MG08,Distributor,,2000000,1882,,,,
RAJKAMAL TRADERS,S.S.ROAD  SHIMOGA DIST. , ,SHIKARIPUR,577427,rktradersskp@gmail.com, ,,,,,1000525,MG03,Distributor,,1000000,91341.88,,,,
R.D.ASSOCIATES,A/C SYNTEL INTERNATIONAL PRIVATE LT, ,CHENNAI,600017,info@rd-associates.com, ,,,,,1000526,MG09,Distributor,,1000000,-108832,,,,
RAJAWAT PIPE AND SANITERY,1404 OPPOSITE RAJNI VIVAH GHAR  ANT, ,JHANSI,284002,jitendrarajawat75@gmail.com, ,,,,,1000527,MG07,Distributor,,1500000,17553,,,,
RSG TECHNOLOGIES,FL.NO-4/5  SHIV SAHARA NIWAS  P.O R, ,JAMSHEDPUR,831012, , ,,,,,1000528,MG04,Distributor,,1,-226980,,,,
RELIANCE INFRASTRUCTURE LIMITED,VILL-SASAN POST-TIYARA  THE-WAIDHAN, ,SINGRAULI,486886, , ,,,,,1000529,MG04,Distributor,,1,0,,,,
RAJA TRADE LINKS,41 RAMANUJAM NAGAR EAST , ,KARUR,633002,rajatradelinks@gmail.com, ,,,,,1000531,MG09,Distributor,,1,-2421018.41,,,,
SHRIRAM PISTONS & RINGS LTD.,A-4 &A-5 INDUSTIAL AREA-III  MEERUT, ,GHAZIABAD,201003, , ,,,,,1000539,MG04,Distributor,,1,-140450.77,,,,
RAKESH TRADING CORPORATION,89 TELGALI SIYAGANJ, ,INDORE,452007,shahrakesh099@gmail.com, ,,,,,1000530,MG08,Distributor,,1,-9514,,,,
RAJPOOT TRADERS,NEAR HYDLE MAIN ROAD SALEMPUR DEORI, ,DEORIA,274509,kksalempur@gmail.com, ,,,,,1000532,MG07,Distributor,,1,-13998.91,,,,
SPAN CORPORATION,NEW.NO. 73   OLD.NO.35  SEMBUDOSS S, ,CHENNAI,600001,span@md4.vsnl.net.in,9841646323,,,,,1000533,MG09,Distributor,,2000000,-1724497,,,,
SANITORY SALES CORPORATION,G-5 NARSARIA TOWER OPP.-LALPUR THAN, ,RANCHI,834001,sanitarysales01@gmail.com,92343118449,,,,,1000534,MG08,Distributor,,2100000,-2113737,,,,
SPAN CORPORATION - COIMBATORE,89-A  AVINASI ROAD  OPP. ANNA STATU, ,COIMBATORE,641018,spancbe@vsnl.net,9841027323,,,,,1000535,MG09,Distributor,,2500000,-1316346.48,,,,
SURYA ENTERPRISES,D9 & PD-15  3RD ROAD INDUSTRIAL EST, ,VIJAYAWADA,520007, ,98660030009,,,,,1000536,MG01,Distributor,,15000000,-9075434.03,,,,
SUNRISE MARKETING AGENTS,III-149/1  LAXMI GOVIND  HALADY ROA, ,KOTESHWAR,576222,smagents99@gmail.com,9886023510,,,,,1000537,MG03,Distributor,,5000000,845790.27,,,,
SHANTILAL DHANRAJ RUNWAL,OLD ADAT BAZAR  NEAR GANPATHI CHOWK, ,BIJAPUR,586101,sdrunwal@gmail.com,9844012307,,,,,1000538,MG03,Distributor,,4500000,169660.76,,,,
UNNATI SALES AGENCY,CLASSIC AVENUE  OPP: SALES INDIA, ,AHMEDABAD,380009,unnatisalesagencies@gmail.com,9825471956,,,,,1001145,MG08,Distributor,,1,25055,,,,
MATRUKRUPA ENGINEERING WORKS,OPP: OLD WAY BRIDGE  MEHMDAVAD ROAD, ,KHATRAJ,387130,matrukrupaeng@yahoo.com,9825656952,,,,,1001146,MG08,Distributor,,1,5021,,,,
RAGHAVENDRA ELECTRICAL WORKS,BHAVANI COMPLEX  OP: BUS STAND, ,KOTHAKOTA,509381,tbalakrishnareddy07@gmail.com, ,,,,,1001148,MG08,Distributor,,1,-544,,,,
PIYUSH MARKETING,METER HOUSE  ELECTRIC MARKET, ,RAJKOT,360001,piyushmarketing@yahoo.com,9879024256,,,,,1001149,MG12,Distributor,,1,399,,,,
AMARA RAJA INFRA PRIVATE LIMITED,PLUMBING AND SANITARY FOR ABD 2 EMP, ,CHITTOOR,517416,gpl@amararaja.co.in, ,,,,,1001150,MG09,Distributor,,1,0,,,,
SHARAD AGRO AGENCIES,SHOP NO:86  NAVKAR PLAZA , ,JAMNER,424206,nitinnpatil333@rediffmail.com, ,,,,,1001184,MG08,Distributor,,1,0,,,,
GAYATRI ENTERPRISES,52/219  MUNICIPAL SHOPING COMPLEX, ,KURNOOL,518001,knl.gayatrienterprises@gmail.com,9440626223,,,,,1001185,MG08,Distributor,,1,2637,,,,
SHREE SWASTIK TRADERS,KAPAN-3  TEKU-12 , ,KATHMANDU,495001, , ,,,,,2000001,MG08,Distributor,,1,0,,,,
ZENITH INFRA SOLUTIONS,JORPATI , ,KATHMANDU,284403,zisktm@gmail.com, ,,,,,2000002,MG08,Distributor,,2500000,-2183901,,,,
IDISTUB SL,C /. GUERRILLER FRIGOLA  24  17820 - BANYOLES, ,GIRONA,17820, , ,,,,,2000003,MG05,Distributor,,1,0,,,,
S-LON LANKA (PVT.) LTD.,146  DAWSON STREET, ,COLOMBO,200, , ,,,,,2000005,MG05,Distributor,,1,-1752464.56,,,,
SHREE PADMAVATI ENGINEERS (I) PVT L,FOR M/S TATA CONSULTANCY SERVICES L, ,MUMBAI,400092,pankaj@khodiyargroup.com, ,,,,,1000658,MG10,Distributor,,1,0,,,,
PINNACLE EQUIPMENTS PVT. LTD,TALAWADE ROAD TALAWADI, ,PUNE,411062,Senthil4.Kumar@ge.com, ,,,,,1001091,MG04,Distributor,,1,0,,,,
JEEVAN MACHINERY STORE,NEAR TELEPHONE EXCHANGE , ,BULANDSHAHAR,203001,savindra1209@gmail.com, ,,,,,1001093,MG08,Distributor,,1,0,,,,
HINDUJA NATIONAL POWER CORP.LTD, , ,VISAKHAPATNAM,530031,Samiganesan.Karmegam@ge.com,9632455507,,,,,1001096,MG04,Distributor,,1,0,,,,
AGARWAL AGRO AND MACHINERY STORE,RAILWAY ROAD , ,ALIGARH,202001,vishal121@hotmail.com,9837042320,,,,,1001097,MG08,Distributor,,1,0,,,,
KOMAL TRADING COMPANY,327  M.G.ROAD TALUKA: AHMEDNAGAR , ,BHINGAR,414002,sachinktc.gugale00@gmail.com, ,,,,,1001105,MG02,Distributor,,1,-100575.32,,,,
M.B. AGENCIES,NO:120  SREENIVASA MANDIRAM ROAD , ,BANGALORE,560053,mbelectricco@yahoo.com, ,,,,,1001106,MG12,Distributor,,1,115243,,,,
SATKRUTI EDUCATION MANAGEMENT PVT.,PRE SCHOOL  BANNEGATTA MAIN ROAD , ,BANGALORE,560076,shruthic@sattvagroup.in,9845484407,,,,,1001108,MG03,Distributor,,1,-1939,,,,
BHARAT PETROLEUM CORPORATION LIMITE,A/C.TRIVENI ENGINEERING & INDUSTRIE, ,ERNAKULAM,682302,aktyagi@projects.trivenigroup.com, ,,,,,1001110,MG04,Distributor,,1,0,,,,
DELTA ELECTRO MECHANICAL PVT.LTD.,99 LH  MANIKONDA, ,HYDERABAD,500089,purchase.saroj@deltaem.com, ,,,,,1001137,MG03,Distributor,,1,-1617652.07,,,,
BASHEER ELECTRONICS & ELECTRICALS,REURI ROAD JAKKULA SAMBAAH COMPLEX, ,NALGONDA,508246,basheerelectronic5040@gmail.com,9949782787,,,,,1001138,MG08,Distributor,,1,0,,,,
VA TECH WABAG LIMITED, , ,JAIPUR,302001,chaitrali_barage@wabag.in, ,,,,,1001139,MG04,Distributor,,1,-586273,,,,
RAJASTHAN RAJYA VIDYUT UTPADAN NIGA,VILLAGE MOTIPURA CHOUKI, ,BARAN,325220, , ,,,,,1001140,MG04,Distributor,,1,0,,,,
SHUBHAM TRADING CO.,WARD NO. 7   NADAUN ROAD, ,HAMIRPUR,177001,ajaykastiya@gmail.com, ,,,,,1001141,MG07,Distributor,,1,48803,,,,
VAISHAK AGENCIES,BUILDING NO. 19/353, ,PALAKKAD,678623,vaishakagencies29@gmail.com,9446975499,,,,,1001142,MG06,Distributor,,1,78773,,,,
ULTRATECH CEMENT LIMITED,WEST ZONE OFFICE  1ST FLOOR AHURA C, ,MUMBAI,400093,deepak.chaturvedi@adityabirla.com,9881373546,,,,,1001143,MG02,Distributor,,1,2895,,,,
JK PAPER LTD, , ,RAYAGADA,765017,asanengineers@gmail.com, ,,,,,1001144,MG04,Distributor,,1,0,,,,
UDAY PRAKASH ENGINEERING & ELECTRIC,2/165 MAIN ROAD , ,NALGONDA,508112, , ,,,,,1001147,MG08,Distributor,,1,445,,,,
AQUA DESIGNS INDIA PRIVATE LTD, , ,CHENNAI,600062,postorder@aquadesigns.in, ,,,,,1001151,MG04,Distributor,,1,0,,,,
SKYLAND ENTERPRISES,10/703-F   NEAR MUTTAR BRIDGE, ,KOCHI,683501,skylandcochin@gmail.com,2108089,,,,,1000641,MG06,Distributor,,4000000,-6605226,,,,
SOBHA DEVELOPERS LIMITED...,NO. 6/18 ZAKIR HUSSAIN STREET PARER, ,KANCHIPURAM,603204, , ,,,,,1000642,MG09,Distributor,,1,-249816,,,,
SREE RAMAKRISHNA ELECTRICALS,14 CHITU KOVIL STREET., ,SALEM,636001,sresalem@gmail.com, ,,,,,1000643,MG09,Distributor,,1000000,148,,,,
SHREE SHYAM TRADING COMPANY,A8 STREET NO 5  AVDHOOT SOCIETY - 1, ,BHARUCH,392002, , ,,,,,1000644,MG10,Distributor,,2000000,-176872,,,,
SHANTHI ENTERPRISES,NO. K. MUNICIPAL BUILDING  NEAR BOS, ,SALEM,636001,zsdha@gmail.com,9843098427,,,,,1000645,MG09,Distributor,,1000000,-189322,,,,
SAMIR ENTERPRISES,1335 TALODA ROAD  MAHAVIR MARG  NAN, ,NANDURBAR,425412,samirenterprise70@gmail.com,9423193708,,,,,1000646,MG10,Distributor,,2000000,-2163657,,,,
SHIVANANDA ELECTRICALS,NO 1 URBAN BANK SHOPPING COMPLEX  N, ,HARUGERI,591220,shivanandelectricals@gmail.com,9448566787,,,,,1000647,MG03,Distributor,,2600000,-245462,,,,
SAI ENTERPRISES,19/12/541 NEAR MUNICIPAL PARK  BAIR, ,CHITTOOR,517501, , ,,,,,1000648,MG01,Distributor,,3000000,-370693.59,,,,
SURBHI MARBLS,D 59/128 SIGRA VARANASI, ,VARANASI,221010,surbhi.marbel@gmail.com, ,,,,,1000649,MG07,Distributor,,1,0,,,,
STEEL MART,GURUDWARA ROAD  SHAH MARKET, ,BHAGALPUR,812002,sie.bgo@gmail.com, ,,,,,1000650,MG08,Distributor,,1,0,,,,
SINGH TRADERS,CHHABRA COMPLEX  BUDHARAJA MAIN ROA, ,SAMBALPUR,768004,singh_traders@rediffmail.com, ,,,,,1000651,MG08,Distributor,,2000000,92002,,,,
S R PARYAVARAN ENGINEERS (P). LTD,61 HPSIDC INDUSTRIAL AREA , ,BADDI,173205, , ,,,,,1000652,MG04,Distributor,,1,-8723,,,,
SV ENTERPRISES,NO.37-1-7/14 BESIDE PADMA TOWERS  S, ,ONGOLE,523002,info@bunnings.in, ,,,,,1000653,MG01,Distributor,,1500000,-246464,,,,
SHIVASHETTAR HARDWARE,V.P. MUDAGAL COMPLEX ASHOK CIRCLE , ,KOPPAL,583231,shivashettarhw@gmail.com, ,,,,,1000654,MG03,Distributor,,1000000,-239278,,,,
SHIVKRIPA MACHINARY,OPP BUS STAND  SOLAPUR-PUNE HIGHWAY, ,SOLAPUR,413211,shivkripatembhurni@rediffmail.com, ,,,,,1000655,MG08,Distributor,,2000000,1502,,,,
S.M. PIPE TRADERS,7 PERUMAL TANK EAST  TOWN HALL ROAD, ,MADURAI,625001,s.mpipetraders@gmail.com, ,,,,,1000656,MG09,Distributor,,2000000,-4329660,,,,
SALARPURIA GRIHA NIRMAN PVT LTD,SATTVA GROUP 4TH & 5TH FLOOR SALARP, ,BANGALORE,560042, , ,,,,,1000657,MG03,Distributor,,1,0,,,,
SAKTHIMURUGAN AGENCIES,18. G.A. CANAL ROAD  NEAR HOTEL PAR, ,THANJAVUR,613001, , ,,,,,1000659,MG09,Distributor,,1,0,,,,
SUNIL PIPE AGENCY,MOHIDA ROAD  SHAHADA , ,NANDURBAR,425409, , ,,,,,1000660,MG08,Distributor,,2000000,15059,,,,
SWASTIK TRADING,3 KRISHNA SHOPPING CENTRE  NR. BHAD, ,VADODARA,391770, ,9427841039,,,,,1000661,MG08,Distributor,,1,0,,,,
THE MODERN MACHINERY STORES,4 KRISHNAGIRI ROAD , ,TIRUPATTUR,635601, , ,,,,,1000754,MG09,Distributor,,1000000,2244.36,,,,
TIRUPATI MARKETINGS,WHITE TOWER ANNEX 115 COLLEGE STREE, ,KOLKATA,700012,tirupatimarketings@gmail.com,98300512889,,,,,1000755,MG08,Distributor,,9000000,-4562145,,,,
TECHNOFAB ENGINEERING LTD,D-411  SHASTRI NAGAR, ,GHAZIABAD,201301, , ,,,,,1000756,MG04,Distributor,,1,0,,,,
TIRUPATI MARBLES & ENTERPRISES,RISOD ROAD  NEAR HDFC BANK , ,WASHIM,444105,tirupatimarbleswashim@rediffmail.com, ,,,,,1000757,MG10,Distributor,,2000000,0,,,,
TAMILNADU MILLS STORES,28-PENSIONER STREET  PALANI ROAD , ,DINDIGUL,624001,tms.dindigul@gmail.com,9865274002,,,,,1000758,MG09,Distributor,,4900000,-4832967,,,,
TRIVENI ENGINEERING & INDUSTRIES LT,FLAT NO. 104 1ST FLOOR  KRISHNA KUT, ,HYDERABAD,110049, , ,,,,,1000759,MG04,Distributor,,1,0,,,,
THERMAX LIMITED,90-91  GENERAL BLOCK  MIDC  BHOSARI, ,PUNE,411026, , ,,,,,1000760,MG04,Distributor,,1,0,,,,
THE BRANDS MODULAR KITCHENS AND PIP,D.NO.:6-14-35 14TH LANE ARUNDELPET , ,GUNTUR,522002,brandsbhupal@gmail.com, ,,,,,1000761,MG01,Distributor,,2400000,-1194488,,,,
TATA PROJECTS LTD,C/O APPDCL  SRI DAMODARAM SANJEEVAI, ,NELLORE,524344, , ,,,,,1000762,MG04,Distributor,,1,-56533,,,,
HOTEL THE KARAN,9-AINDUSTRIAL AREA IMLIKHEDA CHHIND, ,CHHINDWARA,480001, ,9425146656,,,,,1000763,MG08,Distributor,,1,-2156,,,,
TECHNOCOM VENTURES,B-165 VAISHALI NAGAR, ,INDORE,452009,info@tvpl.in, ,,,,,1000764,MG04,Distributor,,1,-105458,,,,
THE ADDL.CONTROLLER OF STORES,DTPS DAMODAR VALLEY CORPORATION  DU, ,BURDWAN,713321, , ,,,,,1000765,MG04,Distributor,,1,-2068,,,,
TALISH INC.,NO. 73 ANNAPORNESHWARI LAYOUT  ULLA, ,BANGALORE,560056, , ,,,,,1000766,MG03,Distributor,,2000000,-2093879,,,,
TECHNOVA IMAGING SYSTEMS (P) LIMITE,NADOLIA INDUSTRIAL & DEVELOPMENT CO, ,AHMEDABAD,382405, , ,,,,,1000767,MG04,Distributor,,1,-915,,,,
LARSEN & TOUBRO LTD.. ,A/C TATA CONSULTANCY SERVICES LTD. , ,CHENNAI,609103, , ,,,,,1000768,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD..  ECC DIVISION,A/C TATA CONSULTANCY SERVICES LTD. , ,CHENNAI,609103, , ,,,,,1000769,MG09,Distributor,,1,0,,,,
LARSEN & TOUBRO LTD  ECC DIVISION,SEAWOOD OVERPASS PROJECT PLOT NO R-, ,NAVI MUMBA,400705, , ,,,,,1000770,MG09,Distributor,,1,0,,,,
TRANS TRADEXIM PVT. LTD.,74/142 DHANKUTTI, ,KANPUR,208001, , ,,,,,1000771,MG07,Distributor,,1,99728,,,,
TRIVENI ENGINEERING & INDUSTRIES LT,23 24 PYALA ROAD  SIKRI FARIDABAD G, ,GURGAON,122001, , ,,,,,1000774,MG04,Distributor,,1,-152561,,,,
THERMAX LIMITED,WATER & WASTE SOLUTION DIVISION  TF, ,KRISHNA DISTRICT,521212, , ,,,,,1000775,MG04,Distributor,,1,0,,,,
NOWEA ENGINEERS,TOWER K  CASA PARADISO SANATHNAGAR, ,HYDERABAD,500018,info@noweaengineers.co.in, ,,,,,1000917,MG01,Distributor,,1,-847295,,,,
DELTA ELECTRO MECHANICAL PVT.LTD,A-407   OBEROI CHAMBERS  OFF  NEW L, ,MUMBAI,400053,purchase.saroj@deltaem.com,9246823594,,,,,1000918,MG10,Distributor,,1,-4024502,,,,
ESS ESS ASSOCIATES,38/1827 NEAR GOVT.HIGH SCHOOL  KUND, ,CALICUT,673005,essessassociates222@gmail.com,94465379229,,,,,1000919,MG06,Distributor,,1,-2069214,,,,
KEVIN INTERNATIONAL, , ,VADODARA,390005,rcyril@gulbrandsen.com, ,,,,,1001078,MG04,Distributor,,1,-912,,,,
NEWTECH POWER INDUSTRIES PRIVATE LI, , ,MUMBAI,400002,nayan@newtechlimited.com,9819941765982...,,,,,1001079,MG12,Distributor,,1,18601.2,,,,
NEWTECH POWER INDUSTRIES PRIVATE LI, , ,VILLAGE:KALHER,421302,nayan@newtechlimited.com,9819941765982...,,,,,1001080,MG12,Distributor,,1,0,,,,
INDAR ELECTRICALS, , ,TIRUCHIRAPPALLI,620008,mktg@indarelectricals.com,9894778083,,,,,1001081,MG09,Distributor,,1,-1408508.37,,,,
SIVSHAKTHI TRADERS, , ,PUNGANUR,517247,kailash.pgr@gmail.com,9000575272,,,,,1001082,MG01,Distributor,,1,-3413.69,,,,
JAY MARUTI TRADERS & HARDWARE, , ,MORBI,363641,jaymaruti_traders@yahoo.com, ,,,,,1001083,MG08,Distributor,,1,0,,,,
S L N SWAMY AGENCIES,MAIN ROAD , ,NARKETPALLY,508254,chotu.sindhu@gmail.com, ,,,,,1001084,MG08,Distributor,,1,815,,,,
C H ENTERPRISE,250/1 A  G.I.D.C., ,VADODARA,390010,chenterprisebaroda@gmail.com, ,,,,,1001085,MG12,Distributor,,1,0,,,,
VYANKATESH MACHINARY,BHOKAR-NANDED ROAD, ,BHOKAR,431801,vyanketshmachinary77@gmail.com, ,,,,,1001086,MG08,Distributor,,1,3902,,,,
